"search","socialmedia","termsconditions","age","behavior","interest","commercial","awareness","concern","regulation","comfort","F_internetuse","F_termsconditions","F_age","F_behavior","F_interest","F_commercial","F_awareness","F_concern","F_regulation","F_comfort","F_nationality"
2,5,1,60,2,2,3,2,2,2,2.33333333333333,"light_user","read","55+","agree","agree","disagree","agree","agree","agree","comfortable","BELGIUM"
1,3,1,60,4,1,4,1,1,1,3,"light_user","read","55+","disagree","agree","disagree","agree","agree","agree","uncomfortable","BELGIUM"
1,1,2,20,2,2,1,2,1,2,2,"heavy_user","read","15-24","agree","agree","agree","agree","agree","agree","comfortable","BELGIUM"
1,1,2,18,4,2,3,1,2,2,3,"heavy_user","read","15-24","disagree","agree","disagree","agree","agree","agree","uncomfortable","BELGIUM"
2,2,1,49,1,1,1,3,2,2,2,"light_user","read","40-54","agree","agree","agree","disagree","agree","agree","comfortable","BELGIUM"
1,1,3,30,2,1,3,1,1,2,2,"heavy_user","don't read","25-39","agree","agree","disagree","agree","agree","agree","comfortable","BELGIUM"
2,1,3,36,2,2,1,1,2,2,3.33333333333333,"light_user","don't read","25-39","agree","agree","agree","agree","agree","agree","uncomfortable","BELGIUM"
2,1,3,49,3,2,3,1,2,2,2.66666666666667,"light_user","don't read","40-54","disagree","agree","disagree","agree","agree","agree","comfortable","BELGIUM"
1,3,2,50,1,1,1,2,4,1,1,"light_user","read","40-54","agree","agree","agree","agree","disagree","agree","comfortable","BELGIUM"
3,4,3,63,2,2,2,2,1,1,3,"light_user","don't read","55+","agree","agree","agree","agree","agree","agree","uncomfortable","BELGIUM"
2,1,3,57,4,2,3,1,1,1,2.66666666666667,"light_user","don't read","55+","disagree","agree","disagree","agree","agree","agree","comfortable","BELGIUM"
1,1,2,30,2,2,2,2,2,2,2,"heavy_user","read","25-39","agree","agree","agree","agree","agree","agree","comfortable","BELGIUM"
1,1,1,27,3,2,1,1,1,1,4,"heavy_user","read","25-39","disagree","agree","agree","agree","agree","agree","uncomfortable","BELGIUM"
1,1,2,24,3,2,3,1,2,1,2,"heavy_user","read","15-24","disagree","agree","disagree","agree","agree","agree","comfortable","BELGIUM"
2,3,1,72,1,2,2,2,1,2,3,"light_user","read","55+","agree","agree","agree","agree","agree","agree","uncomfortable","BELGIUM"
2,3,2,53,2,2,2,2,2,2,2.66666666666667,"light_user","read","40-54","agree","agree","agree","agree","agree","agree","comfortable","BELGIUM"
3,2,2,57,2,2,3,1,3,1,2,"light_user","read","55+","agree","agree","disagree","agree","disagree","agree","comfortable","BELGIUM"
1,1,1,38,2,2,3,2,2,2,3.33333333333333,"heavy_user","read","25-39","agree","agree","disagree","agree","agree","agree","uncomfortable","BELGIUM"
1,1,3,23,3,2,3,2,3,3,2,"heavy_user","don't read","15-24","disagree","agree","disagree","agree","disagree","disagree","comfortable","BELGIUM"
1,1,3,20,4,1,3,1,3,2,2,"heavy_user","don't read","15-24","disagree","agree","disagree","agree","disagree","agree","comfortable","BELGIUM"
1,1,3,42,4,2,2,2,3,2,2.33333333333333,"heavy_user","don't read","40-54","disagree","agree","agree","agree","disagree","agree","comfortable","BELGIUM"
